frekvencia;teljesitmeny;csatorna;adohely;cim;id
95;0,5;Rádió FM 95 ;Debrecen ;;170
95;1;MR1-Kossuth Rádió ;Mosonmagyaróvár ;;171
95;0,1;MR1-Kossuth Rádió ;Bácsalmás ;;172
95,1;1,74;MR2-Petőfi Rádió ;Csengőd;Kiskőrös ;173
95,1;1;Szent István Rádió ;Miskolc;Pereces ;174
95,1;0,001;Karzat Rádió Sárospatak ;Sárospatak ;;175
95,2;0,1;Juventus Rádió Szarvas ;Szarvas ;;176
95,3;0,93;Klubrádió ;Budapest;Széchenyi-hegy ;177
95,4;1;Rádió 88 ;Szeged ;;178
95,4;5;Rádió Express 95,4 ;Encs ;;179
95,5;20;Neo FM ;Kékes ;;180
95,6;0,91;Rádió FUN ;Debrecen ;;181
95,6;0,126;Kanizsa Rádió ;Nagykanizsa;Újudvar;182
95,6;0,1;MR1-Kossuth Rádió ;Veszprém ;;183
95,7;1;Gazdasági Rádió 95,7 ;Balassagyarmat ;;184
95,7;0,2;Rádió Plusz ;Szentes ;;185
95,8;2;Infó Rádió ;Budapest;Széchenyi-hegy ;186
95,9;25,1;Neo FM ;Pécs;Misina-tető ;187
95,9;0,2;Új Juventus ;Kazincbarcika ;;188
96;0,25;MR1-Kossuth Rádió ;Gyula ;;189
96;0,2;MR1-Kossuth Rádió ;Sárvár ;;190
96,2;0,1;MR1-Kossuth Rádió ;Eger ;;191
96,3;0,3;Fortuna Rádió ;Paks ;;192
96,3;0,25;Új Juventus ;Miskolc;Avas ;193
96,3;0,003;Rádio Studio ;Zalaegerszeg ;;194
96,4;2,5;Roxy Rádió ;Budapest;Gellért-hegy ;195
96,4;0,58;Rádió 1 ;Győr ;;196
96,4;0,3;Rádió Törökszentmiklós ;Törökszentmiklós ;;197
96,4;0,1;MR1-Kossuth Rádió ;Pápa ;;198
96,5;2;Gong Rádió ;Kecskemét ;;199
96,5;0,1;Isis Rádió ;Sárvár ;;200
96,6;0,3;Yo! Rádió Sárbogard ;Sárbogárd ;;201
96,6;0,001;Haraszti Hangja Rádió ;Dunaharaszti ;;202
96,7;37,1;MR2-Petőfi Rádió ;Komádi ;;203
96,7;6,3;Neo FM ;Csávoly ;;204
96,7;3;MR1-Kossuth Rádió ;Kaposvár;Rómahegy ;205
96,7;0,3;Klubrádió ;Tatabánya;Árpád Hotel ;206
96,8;8,9;Neo FM ;Sopron;Dalos-hegy ;207
96,8;0,2;Árkádia Rádió ;Makó ;;208
96,8;1;Rádió 17 Rákosmente ;Budapest;XVII. Kerület;209
96,8;0,001;Rádió Twist ;Debrecen ;;210
97;0,0005;Első Pesti Egyetemi Rádió (EPER) ;Budapest;ELTE;211
97;0,01;Kis-Duna Rádió ;Áporka ;;212
97,1;5,6;Neo FM ;Miskolc;Avas ;213
97,1;0,2;Rádió Szombathely ;Szombathely ;;214
97,1;0,5;Yo! Rádió ;Várpalota ;;215
97,1;0,0008;Periszkóp Rádió ;Pécs;;216
97,1;0,003;Kerepes Rádió ;Kerepes ;;217
97,2;0,05;Rádió Gyömrő 97,2 MHz ;Gyömrő ;;218
97,2;0,05;Gong Rádió Gyömrő ;Gyömrő ;;219
97,3;1,25;Abszolút Rádió ;Göd ;;220
97,3;1;MR1-Kossuth Rádió ;Békéscsaba ;;221
97,4;1;Rádió Antritt Dunaföldvár ;Dunaföldvár ;;222
97,4;0,2;  ;Esztergom ;;223
97,5;50,1;Neo FM ;Tokaj;Nagy-kopasz ;224
97,5;0,15;K1 Rádió ;Kaposvár ;;225
97,5;0,4;Mária Rádió ;Dabas ;;226
97,6;0,8;Rádió 7 Hódmezővásárhely ;Hódmezővásárhely ;;227
97,7;1;Klubrádió ;Kecskemét ;;228
97,7;0,8;MR1-Kossuth Rádió ;Kazincbarcika ;;229
97,7;0,1;Rádió Jászberény ;Jászberény ;;230
97,7;0,1;Rádió Szentgotthárd/Monošter ;Felsőszölnök;Kakas-domb ;231
97,8;0,1;Rádió Radír ;Tatabánya;Kő-hegy ;232
97,9;10;MR1-Kossuth Rádió ;Karcag ;;233
97,9;0,01;Berettyó Rádió ;Berettyóújfalu ;;234
97,9;0,01;Campus Rádió ;Nyíregyháza;Jósaváros ;235
97,9;0,001;4-SSSS Rádió ;Téglás ;;236
97,9;0,001;Galaxis Rádió ;Heves ;;237
98;0,138;Civil Rádió ;Budapest;Lágymányos ;238
98;0,004;Abakusz Rádió ;Hajdúböszörmény ;;239
98;0,001;Best of Rádió ;Tiszavasvári ;;240
98,1;0,1;Klubrádió ;Esztergom;Elő-hegy ;241
98,2;7,5;MR2-Petőfi Rádió ;Vasvár;Hegyhátsál ;242
98,2;0,1;MR1-Kossuth Rádió ;Túrkeve ;;243
98,3;5,6;Klassz Rádió  ;Miskolc;Avas ;244
98,4;0,05;HA-JÓ Rádió ;Vaja ;;245
98,6;1,2;Rádió Café ;Budapest;Széchenyi-hegy ;246
98,7;0,8;N-Joy 98,7 Dombóvár ;Dombóvár ;;247
98,8;32,4;MR2-Petőfi Rádió ;Szentes ;;248
98,8;0,002;Berzsenyi Rádió ;Szombathely ;;249
98,8;0,003;Rádió Cell ;Celldömölk ;;250
98,9;1;N-Joy 98,9 Szigetvár ;Szigetvár ;;251
98,9;0,32;Rise FM ;Tihany ;;252
98,9;0,35;Rádió Fun ;Hajdúböszörmény ;;253
98,9;0,1;Mária Rádió ;Gyál ;;254
98,9;0,01;Rádió Avas ;Miskolc ;;255
98,9;0,01;Ózdi Diák Rádió ;Ózd ;;256
98,9;0,001;Rakamaz FM ;Rakamaz ;;257
99;0,5;MR1-Kossuth Rádió ;Szekszárd ;;258
99,1;0,1;Gerilla Rádió 99,1 ;Dunaújváros ;;259
99,2;0,631;Vörösmarty Rádió ;Székesfehérvár;Öreghegy ;260
99,4;0,1;SUNSHINE Rádió Nyíregyháza ;Nyíregyháza ;;261
99,4;0,25;Rádió 1 ;Komló ;;262
99,4;0,2;MR1-Kossuth Rádió ;Szeghalom ;;263
99,4;0,1;Helikon Rádió ;Keszthely ;;264
99,5;8,9;MR2-Petőfi Rádió ;Sopron;Dalos-hegy ;265
99,5;5;Rádió Q ;Budapest;Gellért-hegy ;266
99,5;0,05;Új Juventus ;Ózd ;;267
99,5;0,2;  ;Fehérgyarmat ;;268
99,5;0,005;Origó Rádió Miskolc ;Miskolc ;;269
99,6;1,25;Gong Rádió Kecel FM 99,6 MHz ;Kecel ;;270
99,7;1,38;MR1-Kossuth Rádió ;Debrecen;Pallag ;271
99,8;0,32;MR1-Kossuth Rádió ;Kékes ;;272
99,8;0,4;Rádió 8 Körmend ;Körmend ;;273
99,9;1;Kapos Rádió ;Kaposvár ;;274
100;0,1;Korona Rádió Kalocsa ;Kalocsa ;;275
100;0,94;Rádió Aktív FM 100,0 MHz ;Sátoraljaújhely;Magas-hegy ;276
100,1;0,57;  ;Győr ;;277
100,2;2;Rádió Plusz ;Szeged ;;278
100,3;1;Lánchíd Rádió ;Budapest;SOTE ;279
100,4;34,7;Neo FM ;Szentes ;;280
100,4;0,1;Rádió Focus ;Salgótarján ;;281
100,5;67,6;Klassz Rádió  ;Kab-hegy ;;282
100,5;1;  ;Nyíregyháza ;;283
100,6;3;Mária Rádió ;Telkibánya ;;284
100,6;0,25;Rádió Fun ;Hajdúszoboszló ;;285
